timesteps,episode,ep_return,ep_len,rollout_ep_rew_mean_100,rollout_ep_len_mean_100,success,final_dist,path_len,straight_dist,path_eff,reverse_ratio,heading_abs_mean,action_smooth_mean
248,0,-18.8347330550896,248,-18.8347330550896,248.0,0,5.430160151260796,7.634730932908133,1.6799970839422884,0.22004666552176233,0.0,2.144421583965472,0.4039354622137812
434,1,-15.486661976843607,186,-17.160697515966604,217.0,0,6.977912331340937,5.580368157732299,3.430122955972241,0.6146768204207774,0.0,2.365930740906674,0.3958020415106738
622,2,-15.937569908317528,188,-16.75298831341691,207.33333333333334,0,5.537994640006953,5.788266232726163,1.4758323184248092,0.2549696677876754,0.0,2.3935898177557604,0.42306950534469784
851,3,-18.658450939983595,229,-17.229353970058582,212.75,0,6.917252355421467,6.823254979634662,2.2134411358666464,0.32439666148679686,0.0,2.5004130321485705,0.41320861894800737
1101,4,-7.578921839944087,250,-15.299267544035683,220.2,0,2.9993130202061873,7.602461605516145,3.293439081907828,0.43320693385918524,0.0,1.483658946867028,0.4141040714574514
1298,5,-15.47297865897417,197,-15.328219396525432,216.33333333333334,0,6.485519341657643,6.17505516549572,3.632212692823684,0.5882073269756932,0.0,2.0557877597032244,0.4102121532172421
1548,6,-19.442149456590414,250,-15.91592369082043,221.14285714285714,0,9.003254671974744,7.538876673835331,3.1183437726196863,0.41363506892775037,0.0,2.5627531748507897,0.3949231908780085
1798,7,-18.760357061051764,250,-16.271477862099346,224.75,0,9.634724970199523,7.191197264264338,4.060165883693501,0.5646022121893297,0.0,2.614583192632448,0.41111100612051155
2012,8,-14.68383868219621,214,-16.095073508776775,223.55555555555554,0,4.650131255421438,6.160235520638524,1.6827410702635432,0.27316180763314757,0.0,2.2012788345420793,0.4308839222774819
2262,9,-15.482728476697957,250,-16.033839005568893,226.2,0,6.149001275307092,7.480859163077547,2.0696507922854064,0.2766595049002331,0.0,2.306595727629558,0.3868216980757364
2512,10,-12.158410425719921,250,-15.681527316491714,228.36363636363637,0,3.164857893653782,7.789234162226786,0.7172466243982503,0.09208179000144526,0.0,2.0485459670748667,0.43639178898552033
2742,11,-18.67838043125812,230,-15.931265076055581,228.5,0,6.204285180197189,6.8095834462787,1.9299676720339354,0.2834193438203072,0.0,2.3359396141752313,0.38419597324463806
2895,12,10.52897089374892,153,-13.895862309147542,222.69230769230768,1,0.1739276515911207,4.704815176152626,2.714615658482439,0.5769866736194136,0.0,0.8133585114427417,0.41932701034544917
3145,13,-9.678671677247621,250,-13.594634406868977,224.64285714285714,0,3.059563336550243,7.363520641374632,1.7600352002861843,0.2390208822661246,0.0,1.805749793312449,0.3981153942059247
3312,14,13.616882771719247,167,-11.780533261629762,220.8,1,0.19333896593878522,5.1710961371660265,4.913452715614232,0.9501762460573797,0.0,0.30018801161326447,0.3926643121045038
3522,15,-19.029560429044068,210,-12.233597459593156,220.125,0,9.834448417584735,6.332785616838369,4.109568351582758,0.6489353343425593,0.0,2.7651990866093863,0.41882533579619163
3703,16,-7.0793834555879585,181,-11.930408400534027,217.8235294117647,0,3.0008997276344633,5.608399314084084,3.115529477646103,0.5555113505955673,0.0,1.5862580438958056,0.4080062224995345
3924,17,-18.967716794810258,221,-12.321369977993818,218.0,0,5.742415090695553,6.581866391655059,0.6774252286765781,0.10292296870921964,0.0,2.5424134303758237,0.4138392917727205
4022,18,12.261006565357093,98,-11.027560686238507,211.68421052631578,1,0.1947343199114277,3.0221751656616114,3.0995000900743186,1.025585851307126,0.0,0.24254614654282264,0.4057055457792792
